library_function_call,last_method_call,line,file,config,Responsable_AI_principles
aequitas.fairness.Fairness,Fairness,1058,Millan13\dpa_equipo2\Scripts\Luigi_Tasks.py,aequitas,Fairness
azureml.contrib.fairness.download_dashboard_by_upload_id,download_dashboard_by_upload_id,201,leestott\ResponsibleAI\src\detect-fairness\fairlearn.py,fairness,Fairness
clayrs.evaluation.metrics.fairness_metrics.DeltaGap,DeltaGap,647,swapUniba\ClayRS\test\evaluation\metrics\test_fairness_metrics.py,fairness,Fairness
aequitas.fairness.Fairness,Fairness,75,dapivei\data-product-architecture-final-project\notebooks\bias_fairness_nyc311.py,aequitas,Fairness
clayrs.evaluation.metrics.fairness_metrics.DeltaGap,DeltaGap,643,swapUniba\ClayRS\test\evaluation\metrics\test_fairness_metrics.py,fairness,Fairness
toolkit_fai.compute_fairness_measures,compute_fairness_measures,114,basisai\credit-risk\xai_fairness\static_fai.py,fairness,Fairness
dexter.models.DocumentFairness,DocumentFairness,23,Code4SA\mma-dexter\tests\functional\test_article_view.py,models.,Fairness
tensorflow_privacy.privacy.membership_inference_attack.data_structures.AttackResults,AttackResults,228,data-science-on-aws-workshop-2021-06-28\07_train\privacy\tensorflow_privacy\privacy\membership_inference_attack\data_structures_test.py,privacy,Privacy
crypten.cryptensor,crypten.cryptensor,22,hitimr\ML_2020\Ex3\tensor_benchmark.py,crypten,Privacy
opacus.profiler.profiler.record,profiler.record,63,parkbeomsik\opacus-fusion\opacus\grad_sample\embedding.py,opacus,Privacy
tensorflow_privacy.privacy.bolt_on.models.BoltOnModel,models.BoltOnModel,270,riku1212\dp-tsc-baseline\privacy\tensorflow_privacy\privacy\bolt_on\models_test.py,privacy,Privacy
tensorflow_privacy.privacy.dp_query.quantile_estimator_query.QuantileEstimatorQuery,quantile_estimator_query.QuantileEstimatorQuery,27,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\dp_query\quantile_estimator_query_test.py,privacy,Privacy
tensorflow_privacy.privacy.membership_inference_attack.membership_inference_attack.run_attacks,mia.run_attacks,69,vijay-khanna\data-science-on-aws-sagemaker\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\membership_inference_attack_test.py,privacy,Privacy
tensorflow_privacy.privacy.analysis.rdp_accountant.compute_rdp,compute_rdp,164,vijay-khanna\data-science-on-aws-sagemaker\07_train\wip\privacy\tutorials\mnist_lr_tutorial.py,privacy,Privacy
tensorflow_privacy.privacy.analysis.rdp_accountant.compute_rdp,compute_rdp,46,aws-ds-NLP-BERT\07_train\wip\privacy\tutorials\mnist_dpsgd_tutorial_vectorized.py,privacy,Privacy
tensorflow_privacy.privacy.analysis.rdp_accountant.get_privacy_spent,get_privacy_spent,27,data-science-on-aws-workshop-2021-06-28\07_train\privacy\tensorflow_privacy\privacy\analysis\compute_dp_sgd_privacy_lib.py,privacy,Privacy
tensorflow_privacy.privacy.analysis.privacy_ledger.SampleEntry,privacy_ledger.SampleEntry,164,leoalexand\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\rdp_accountant_test.py,privacy,Privacy
tensorflow_privacy.privacy.dp_query.test_utils.run_query,test_utils.run_query,55,data-science-on-aws-workshop-2021-06-28\07_train\privacy\tensorflow_privacy\privacy\analysis\privacy_ledger_test.py,privacy,Privacy
tensorflow_privacy.privacy.dp_query.gaussian_query.GaussianSumQuery,gaussian_query.GaussianSumQuery,24,riku1212\dp-tsc-baseline\privacy\tensorflow_privacy\privacy\dp_query\gaussian_query_test.py,privacy,Privacy
tensorflow_privacy.privacy.dp_query.test_utils.run_query,test_utils.run_query,101,data-science-on-aws-sagemaker\07_train\wip\privacy\tensorflow_privacy\privacy\dp_query\quantile_estimator_query_test.py,privacy,Privacy
tensorflow_privacy.privacy.membership_inference_attack.dataset_slicing.get_single_slice_specs,get_single_slice_specs,36,vijay-khanna\data-science-on-aws-sagemaker\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\dataset_slicing_test.py,privacy,Privacy
tensorflow_privacy.privacy.dp_query.gaussian_query.GaussianSumQuery,gaussian_query.GaussianSumQuery,98,ChubaOraka\data-science-on-aws-workshop-2021-06-28\07_train\privacy\tensorflow_privacy\privacy\optimizers\dp_optimizer_eager_test.py,privacy,Privacy
tensorflow_privacy.privacy.analysis.privacy_ledger.QueryWithLedger,privacy_ledger.QueryWithLedger,273,data-science-on-aws-sagemaker\07_train\wip\privacy\tensorflow_privacy\privacy\optimizers\dp_optimizer_test.py,privacy,Privacy
tensorflow_privacy.privacy.dp_query.gaussian_query.GaussianSumQuery,gaussian_query.GaussianSumQuery,146,data-science-on-aws-workshop-2021-06-28\07_train\privacy\tensorflow_privacy\privacy\optimizers\dp_optimizer_test.py,privacy,Privacy
tensorflow_privacy.privacy.membership_inference_attack.data_structures.AttackResultsCollection.load,AttackResultsCollection.load,248,ChubaOraka\data-science-on-aws-workshop-2021-06-28\07_train\privacy\tensorflow_privacy\privacy\membership_inference_attack\data_structures_test.py,privacy,Privacy
tensorflow_privacy.privacy.membership_inference_attack.utils.log_loss,log_loss,32,vijay-khanna\data-science-on-aws-sagemaker\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\keras_evaluation.py,privacy,Privacy
tensorflow_privacy.privacy.membership_inference_attack.data_structures.get_flattened_attack_metrics,get_flattened_attack_metrics,56,data-science-on-aws-workshop-2021-06-28\07_train\privacy\tensorflow_privacy\privacy\membership_inference_attack\keras_evaluation_test.py,privacy,Privacy
tensorflow_privacy.privacy.analysis.compute_noise_from_budget_lib.compute_noise,compute_noise,121,NigeloYang\federated_learning_differential_privacy\Federated_Learning\paper_model\DP_FedAvg\FLModel.py,privacy,Privacy
tensorflow_privacy.privacy.estimators.test_utils.make_input_data,test_utils.make_input_data,41,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\estimators\binary_class_head_test.py,privacy,Privacy
tensorflow_privacy.privacy.membership_inference_attack.utils_tensorboard.write_results_to_tensorboard,write_results_to_tensorboard,111,vijay-khanna\data-science-on-aws-sagemaker\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\tf_estimator_evaluation.py,privacy,Privacy
tensorflow_privacy.privacy.dp_query.gaussian_query.GaussianSumQuery,gaussian_query.GaussianSumQuery,218,vijay-khanna\data-science-on-aws-sagemaker\07_train\wip\privacy\tensorflow_privacy\privacy\optimizers\dp_optimizer.py,privacy,Privacy
tensorflow_privacy.privacy.membership_inference_attack.data_structures.SingleSliceSpec,SingleSliceSpec,108,ChubaOraka\data-science-on-aws-workshop-2021-06-28\07_train\privacy\tensorflow_privacy\privacy\membership_inference_attack\dataset_slicing.py,privacy,Privacy
tensorflow_privacy.privacy.membership_inference_attack.data_structures.SingleSliceSpec,SingleSliceSpec,102,data-science-on-aws-sagemaker\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\dataset_slicing.py,privacy,Privacy
tensorflow_privacy.privacy.analysis.tensor_buffer.TensorBuffer,tensor_buffer.TensorBuffer,37,ChubaOraka\data-science-on-aws-workshop-2021-06-28\07_train\privacy\tensorflow_privacy\privacy\analysis\tensor_buffer_test_eager.py,privacy,Privacy
tensorflow_privacy.privacy.membership_inference_attack.data_structures.SingleSliceSpec,SingleSliceSpec,97,data-science-on-aws-sagemaker\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\dataset_slicing.py,privacy,Privacy
tensorflow_privacy.privacy.membership_inference_attack.plotting.plot_roc_curve,plotting.plot_roc_curve,197,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\example.py,privacy,Privacy
tensorflow_privacy.privacy.dp_query.test_utils.run_query,test_utils.run_query,282,leoalexand\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\dp_query\quantile_adaptive_clip_sum_query_test.py,privacy,Privacy
tensorflow_privacy.privacy.bolt_on.optimizers.BoltOn,opt.BoltOn,263,leoalexand\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\bolt_on\optimizers_test.py,privacy,Privacy
tensorflow_privacy.privacy.estimators.test_utils.make_input_fn,test_utils.make_input_fn,77,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\estimators\v1\head_test.py,privacy,Privacy
tensorflow_privacy.privacy.membership_inference_attack.membership_inference_attack.run_attacks,mia.run_attacks,26,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\membership_inference_attack_test.py,privacy,Privacy
tensorflow_privacy.privacy.analysis.tensor_buffer.TensorBuffer,tensor_buffer.TensorBuffer,74,vijay-khanna\data-science-on-aws-sagemaker\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\privacy_ledger.py,privacy,Privacy
tensorflow_privacy.privacy.dp_query.gaussian_query.GaussianSumQuery,gaussian_query.GaussianSumQuery,27,vijay-khanna\data-science-on-aws-sagemaker\07_train\wip\privacy\tensorflow_privacy\privacy\dp_query\nested_query_test.py,privacy,Privacy
tensorflow_privacy.privacy.membership_inference_attack.tf_estimator_evaluation.run_attack_on_tf_estimator_model,tf_estimator_evaluation.run_attack_on_tf_estimator_model,89,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\tf_estimator_evaluation_test.py,privacy,Privacy
tensorflow_privacy.privacy.membership_inference_attack.data_structures.SlicingSpec,SlicingSpec,137,data-science-on-aws-sagemaker\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\tf_estimator_evaluation_example.py,privacy,Privacy
tensorflow_privacy.privacy.estimators.test_utils.make_model_fn,test_utils.make_model_fn,56,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\estimators\multi_class_head_test.py,privacy,Privacy
tensorflow_privacy.privacy.bolt_on.optimizers.GammaBetaDecreasingStep,opt.GammaBetaDecreasingStep,557,ChubaOraka\data-science-on-aws-workshop-2021-05-15\07_train\privacy\tensorflow_privacy\privacy\bolt_on\optimizers_test.py,privacy,Privacy
crypten.communicator.get,mpc_comm.get,12,hitimr\ML_2020\old\peter\crypten\ex3_lib\mpc_tests.py,crypten,Privacy
tensorflow_privacy.privacy.membership_inference_attack.data_structures.AttackInputData,AttackInputData,16,leoalexand\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\membership_inference_attack_test.py,privacy,Privacy
tensorflow_privacy.privacy.bolt_on.optimizers.GammaBetaDecreasingStep,opt.GammaBetaDecreasingStep,557,data-science-on-aws-sagemaker\07_train\wip\privacy\tensorflow_privacy\privacy\bolt_on\optimizers_test.py,privacy,Privacy
tensorflow_privacy.privacy.dp_query.quantile_estimator_query.QuantileEstimatorQuery,quantile_estimator_query.QuantileEstimatorQuery,27,ChubaOraka\data-science-on-aws-workshop-2021-06-28\07_train\privacy\tensorflow_privacy\privacy\dp_query\quantile_estimator_query_test.py,privacy,Privacy
tensorflow_privacy.privacy.membership_inference_attack.data_structures.get_flattened_attack_metrics,get_flattened_attack_metrics,77,data-science-on-aws-workshop-2021-06-28\07_train\privacy\tensorflow_privacy\privacy\membership_inference_attack\tf_estimator_evaluation_test.py,privacy,Privacy
opacus.utils.clipping.ConstantPerLayerClipper,ConstantPerLayerClipper,84,msai-amin\DP-FL\opacus\tests\per_sample_gradient_clip_test.py,opacus,Privacy
tensorflow_privacy.privacy.optimizers.dp_optimizer.DPGradientDescentGaussianOptimizer,dp_optimizer.DPGradientDescentGaussianOptimizer,66,ChubaOraka\data-science-on-aws-workshop-2021-06-28\07_train\privacy\tutorials\mnist_lr_tutorial.py,privacy,Privacy
tensorflow_privacy.privacy.analysis.rdp_accountant.compute_rdp,compute_rdp,25,vijay-khanna\data-science-on-aws-sagemaker\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\compute_dp_sgd_privacy_lib.py,privacy,Privacy
tensorflow_privacy.privacy.membership_inference_attack.data_structures.AttackResults,AttackResults,220,vijay-khanna\data-science-on-aws-sagemaker\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\data_structures_test.py,privacy,Privacy
tensorflow_privacy.privacy.dp_query.test_utils.run_query,test_utils.run_query,89,riku1212\dp-tsc-baseline\privacy\tensorflow_privacy\privacy\dp_query\nested_query_test.py,privacy,Privacy
privacy.analysis.rdp_accountant.compute_rdp,rdp_accountant.compute_rdp,65,vijay-khanna\data-science-on-aws-sagemaker\10_pipeline\kubeflow\wip\privacy\analysis\rdp_accountant_test.py,privacy,Privacy
tensorflow_privacy.privacy.membership_inference_attack.data_structures.AttackResultsCollection,AttackResultsCollection,89,vijay-khanna\data-science-on-aws-sagemaker\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\privacy_report_test.py,privacy,Privacy
tensorflow_privacy.privacy.bolt_on.models.BoltOnModel,models.BoltOnModel,374,leoalexand\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\bolt_on\models_test.py,privacy,Privacy
differential_privacy.multiple_teachers.input.ld_cifar10,input.ld_cifar10,47,leoalexand\aws-ds-NLP-BERT\10_pipeline\kubeflow\wip\privacy\research\pate_2017\train_teachers.py,privacy,Privacy
privacy.optimizers.gaussian_query.GaussianAverageQuery,gaussian_query.GaussianAverageQuery,68,data-science-on-aws-sagemaker\10_pipeline\kubeflow\wip\privacy\optimizers\nested_query_test.py,privacy,Privacy
tensorflow_privacy.privacy.dp_query.test_utils.run_query,test_utils.run_query,114,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\dp_query\gaussian_query_test.py,privacy,Privacy
opacus.utils.module_inspection.ModelInspector,mi.ModelInspector,80,woodyx218\opacus_global_clipping\opacus\utils\tests\module_inspection_test.py,opacus,Privacy
tensorflow_privacy.privacy.bolt_on.optimizers.BoltOn,opt.BoltOn,263,data-science-on-aws-workshop-2021-06-28\07_train\privacy\tensorflow_privacy\privacy\bolt_on\optimizers_test.py,privacy,Privacy
opacus.profiler.profiler.add_time_explicit,profiler.add_time_explicit,1135,parkbeomsik\opacus-fusion\opacus\optimizers\optimizer.py,opacus,Privacy
tensorflow_privacy.privacy.dp_query.nested_query.NestedSumQuery,nested_query.NestedSumQuery,128,data-science-on-aws-sagemaker\07_train\wip\privacy\tensorflow_privacy\privacy\dp_query\nested_query_test.py,privacy,Privacy
privacy.optimizers.nested_query.NestedQuery,nested_query.NestedQuery,107,leoalexand\aws-ds-NLP-BERT\10_pipeline\kubeflow\wip\privacy\optimizers\nested_query_test.py,privacy,Privacy
crypten.communicator.get,mpc_comm.get,22,hitimr\ML_2020\Ex3\ex3_lib\mpc_tests.py,crypten,Privacy
tensorflow_privacy.privacy.membership_inference_attack.privacy_report.plot_by_epochs,privacy_report.plot_by_epochs,151,ChubaOraka\data-science-on-aws-workshop-2021-05-15\07_train\privacy\tensorflow_privacy\privacy\membership_inference_attack\example.py,privacy,Privacy
differential_privacy.multiple_teachers.deep_cnn.softmax_preds,deep_cnn.softmax_preds,181,aws-ds-NLP-BERT\10_pipeline\kubeflow\wip\privacy\research\pate_2017\train_student.py,privacy,Privacy
crypten.cryptensor,crypten.cryptensor,301,hitimr\ML_2020\Ex3\mpc_train.py,crypten,Privacy
opacus.custom_tensor.PerBatchGrads,PerBatchGrads,708,parkbeomsik\opacus-fusion\opacus\optimizers\optimizer.py,opacus,Privacy
tensorflow_privacy.privacy.membership_inference_attack.data_structures.SingleSliceSpec,SingleSliceSpec,56,leoalexand\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\dataset_slicing_test.py,privacy,Privacy
tensorflow_privacy.privacy.analysis.tensor_buffer.TensorBuffer,tensor_buffer.TensorBuffer,47,ChubaOraka\data-science-on-aws-workshop-2021-05-15\07_train\privacy\tensorflow_privacy\privacy\analysis\tensor_buffer_test_eager.py,privacy,Privacy
privacy.analysis.rdp_accountant.compute_rdp,compute_rdp,151,vijay-khanna\data-science-on-aws-sagemaker\10_pipeline\kubeflow\wip\privacy\tutorials\mnist_dpsgd_tutorial.py,privacy,Privacy
tensorflow_privacy.privacy.membership_inference_attack.data_structures.SlicingSpec,SlicingSpec,87,data-science-on-aws-workshop-2021-06-28\07_train\privacy\tensorflow_privacy\privacy\membership_inference_attack\keras_evaluation_example.py,privacy,Privacy
opacus.utils.module_inspection.ModelInspector,ModelInspector,47,woodyx218\opacus_global_clipping\opacus\dp_model_inspector.py,opacus,Privacy
tensorflow_privacy.privacy.membership_inference_attack.privacy_report.plot_privacy_vs_accuracy,privacy_report.plot_privacy_vs_accuracy,147,data-science-on-aws-sagemaker\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\privacy_report_test.py,privacy,Privacy
tensorflow_privacy.privacy.optimizers.dp_optimizer.DPAdamGaussianOptimizer,dp_optimizer.DPAdamGaussianOptimizer,86,data-science-on-aws-workshop-2021-06-28\07_train\privacy\tutorials\lm_dpsgd_tutorial.py,privacy,Privacy
opacus.utils.uniform_sampler.UniformWithReplacementSampler,UniformWithReplacementSampler,302,woodyx218\opacus_global_clipping\examples\cifar10.py,opacus,Privacy
tensorflow_privacy.privacy.dp_query.test_utils.run_query,test_utils.run_query,110,ChubaOraka\data-science-on-aws-workshop-2021-05-15\07_train\privacy\tensorflow_privacy\privacy\analysis\privacy_ledger_test.py,privacy,Privacy
tensorflow_privacy.privacy.dp_query.gaussian_query.GaussianSumQuery,gaussian_query.GaussianSumQuery,80,data-science-on-aws-workshop-2021-06-28\07_train\privacy\tensorflow_privacy\privacy\optimizers\dp_optimizer_test.py,privacy,Privacy
tensorflow_privacy.privacy.bolt_on.models.BoltOnModel,models.BoltOnModel,201,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\bolt_on\models_test.py,privacy,Privacy
tensorflow_privacy.privacy.bolt_on.losses.StrongConvexBinaryCrossentropy,StrongConvexBinaryCrossentropy,200,ChubaOraka\data-science-on-aws-workshop-2021-05-15\07_train\privacy\tensorflow_privacy\privacy\bolt_on\losses_test.py,privacy,Privacy
tensorflow_privacy.privacy.analysis.rdp_accountant.compute_rdp,rdp_accountant.compute_rdp,137,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\rdp_accountant_test.py,privacy,Privacy
tensorflow_privacy.privacy.dp_query.no_privacy_query.NoPrivacySumQuery,no_privacy_query.NoPrivacySumQuery,22,ChubaOraka\data-science-on-aws-workshop-2021-06-28\07_train\privacy\tensorflow_privacy\privacy\dp_query\no_privacy_query_test.py,privacy,Privacy
tensorflow_privacy.privacy.estimators.test_utils.make_input_fn,test_utils.make_input_fn,66,leoalexand\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\estimators\binary_class_head_test.py,privacy,Privacy
tensorflow_privacy.privacy.dp_query.quantile_adaptive_clip_sum_query.QuantileAdaptiveClipSumQuery,quantile_adaptive_clip_sum_query.QuantileAdaptiveClipSumQuery,122,data-science-on-aws-workshop-2021-06-28\07_train\privacy\tensorflow_privacy\privacy\dp_query\quantile_adaptive_clip_sum_query_test.py,privacy,Privacy
tensorflow_privacy.privacy.bolt_on.models.BoltOnModel,models.BoltOnModel,201,ChubaOraka\data-science-on-aws-workshop-2021-05-15\07_train\privacy\tensorflow_privacy\privacy\bolt_on\models_test.py,privacy,Privacy
opacus.utils.stats.Stat,stats.Stat,188,msai-amin\DP-FL\opacus\tests\docstring_examples_test.py,opacus,Privacy
tensorflow_privacy.privacy.dp_query.test_utils.run_query,test_utils.run_query,67,vijay-khanna\data-science-on-aws-sagemaker\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\privacy_ledger_test.py,privacy,Privacy
tensorflow_privacy.privacy.membership_inference_attack.data_structures.RocCurve,RocCurve,36,ChubaOraka\data-science-on-aws-workshop-2021-06-28\07_train\privacy\tensorflow_privacy\privacy\membership_inference_attack\privacy_report_test.py,privacy,Privacy
tensorflow_privacy.privacy.membership_inference_attack.privacy_report.plot_privacy_vs_accuracy,privacy_report.plot_privacy_vs_accuracy,134,vijay-khanna\data-science-on-aws-sagemaker\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\privacy_report_test.py,privacy,Privacy
tensorflow_privacy.privacy.membership_inference_attack.data_structures.AttackResults,AttackResults,356,data-science-on-aws-sagemaker\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\data_structures_test.py,privacy,Privacy
tensorflow_privacy.privacy.bolt_on.optimizers.BoltOn,opt.BoltOn,510,leoalexand\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\bolt_on\optimizers_test.py,privacy,Privacy
privacy.optimizers.gaussian_query.GaussianSumQuery,gaussian_query.GaussianSumQuery,49,data-science-on-aws-sagemaker\10_pipeline\kubeflow\wip\privacy\optimizers\nested_query_test.py,privacy,Privacy
opacus.profiler.profiler.record,profiler.record,652,parkbeomsik\opacus-fusion\opacus\optimizers\optimizer.py,opacus,Privacy
tensorflow_privacy.privacy.analysis.privacy_ledger.SampleEntry,privacy_ledger.SampleEntry,164,ChubaOraka\data-science-on-aws-workshop-2021-06-28\07_train\privacy\tensorflow_privacy\privacy\analysis\rdp_accountant_test.py,privacy,Privacy
tensorflow_privacy.privacy.analysis.rdp_accountant.get_privacy_spent,get_privacy_spent,46,data-science-on-aws-workshop-2021-06-28\07_train\privacy\tutorials\mnist_dpsgd_tutorial_keras.py,privacy,Privacy
tensorflow_privacy.privacy.analysis.rdp_accountant.get_privacy_spent,get_privacy_spent,167,riku1212\dp-tsc-baseline\privacy\tutorials\mnist_lr_tutorial.py,privacy,Privacy
tensorflow_privacy.privacy.membership_inference_attack.data_structures.SlicingSpec,SlicingSpec,122,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\codelabs\codelab.py,privacy,Privacy
tensorflow_privacy.privacy.analysis.rdp_accountant.get_privacy_spent,get_privacy_spent,51,data-science-on-aws-workshop-2021-06-28\07_train\privacy\tutorials\mnist_dpsgd_tutorial_vectorized.py,privacy,Privacy
tensorflow_privacy.privacy.optimizers.dp_optimizer.DPGradientDescentGaussianOptimizer,DPGradientDescentGaussianOptimizer,104,riku1212\dp-tsc-baseline\privacy\tutorials\mnist_dpsgd_tutorial_keras.py,privacy,Privacy
tensorflow_privacy.privacy.analysis.rdp_accountant.compute_rdp,rdp_accountant.compute_rdp,137,leoalexand\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\analysis\rdp_accountant_test.py,privacy,Privacy
tensorflow_privacy.privacy.membership_inference_attack.data_structures.RocCurve,RocCurve,160,vijay-khanna\data-science-on-aws-sagemaker\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\data_structures_test.py,privacy,Privacy
opacus.utils.module_inspection.get_layer_type,get_layer_type,197,woodyx218\opacus_global_clipping\opacus\dp_model_inspector.py,opacus,Privacy
tensorflow_privacy.privacy.estimators.binary_class_head.DPBinaryClassHead,binary_class_head.DPBinaryClassHead,20,data-science-on-aws-sagemaker\07_train\wip\privacy\tensorflow_privacy\privacy\estimators\binary_class_head_test.py,privacy,Privacy
tensorflow_privacy.privacy.dp_query.gaussian_query.GaussianAverageQuery,gaussian_query.GaussianAverageQuery,91,data-science-on-aws-workshop-2021-06-28\07_train\privacy\tensorflow_privacy\privacy\dp_query\quantile_estimator_query.py,privacy,Privacy
tensorflow_privacy.privacy.membership_inference_attack.data_structures.AttackInputData,AttackInputData,61,ChubaOraka\data-science-on-aws-workshop-2021-06-28\07_train\privacy\tensorflow_privacy\privacy\membership_inference_attack\membership_inference_attack_test.py,privacy,Privacy
opacus.layers.dp_multihead_attention.SequenceBias,SequenceBias,139,FarrandTom\deep-learning-fairness\opacus\tests\docstring_examples_test.py,opacus,Privacy
tensorflow_privacy.privacy.membership_inference_attack.membership_inference_attack._run_threshold_loss_attack,mia._run_threshold_loss_attack,110,riku1212\dp-tsc-baseline\privacy\tensorflow_privacy\privacy\membership_inference_attack\membership_inference_attack_test.py,privacy,Privacy
opacus.utils.module_modification.convert_batchnorm_modules,module_modification.convert_batchnorm_modules,62,woodyx218\opacus_global_clipping\tutorials\building_image_classifier.py,opacus,Privacy
tensorflow_privacy.privacy.membership_inference_attack.data_structures.AttackResultsCollection,AttackResultsCollection,148,ChubaOraka\data-science-on-aws-workshop-2021-06-28\07_train\privacy\tensorflow_privacy\privacy\membership_inference_attack\privacy_report_test.py,privacy,Privacy
tensorflow_privacy.privacy.membership_inference_attack.data_structures.SingleSliceSpec,SingleSliceSpec,174,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\dataset_slicing_test.py,privacy,Privacy
tensorflow_privacy.privacy.membership_inference_attack.data_structures.SlicingSpec,SlicingSpec,105,data-science-on-aws-sagemaker\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\tf_estimator_evaluation_example.py,privacy,Privacy
tensorflow_privacy.privacy.analysis.privacy_ledger.QueryWithLedger,privacy_ledger.QueryWithLedger,273,ChubaOraka\data-science-on-aws-workshop-2021-05-15\07_train\privacy\tensorflow_privacy\privacy\optimizers\dp_optimizer_test.py,privacy,Privacy
tensorflow_privacy.privacy.membership_inference_attack.models.LogisticRegressionAttacker,models.LogisticRegressionAttacker,18,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\models_test.py,privacy,Privacy
privacy.analysis.rdp_accountant.compute_rdp,rdp_accountant.compute_rdp,104,vijay-khanna\data-science-on-aws-sagemaker\10_pipeline\kubeflow\wip\privacy\analysis\rdp_accountant_test.py,privacy,Privacy
tensorflow_privacy.privacy.membership_inference_attack.data_structures.AttackResults.load,AttackResults.load,162,aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\membership_inference_attack\example.py,privacy,Privacy
privacy.analysis.rdp_accountant.get_privacy_spent,rdp_accountant.get_privacy_spent,127,data-science-on-aws-workshop-2021-06-28\10_pipeline\kubeflow\wip\privacy\analysis\rdp_accountant_test.py,privacy,Privacy
